FID,OBJECTID,latitude,longitude,global_id,ward_code,ward_name,lga_code,lga_name,state_code,state_name,poi_file_n,uniqueID,x,y
1,2,6.13232698697682,7.03435990707809,2d76aa46-93c1-4abc-932a-8b2f86e49667,ANSNEN09,Agulu 3,4004,Anaocha,AN,Anambra,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_AN_4004_ANSNEN09_2,7.37612329975053,5.11370329986744
2,3,4.9548896,8.3351562,ea1e1f3f-cbb4-42c3-aa00-e6932c8d13f9,CRSANA10,Ward 10,9009,Calabar South,CR,Cross River,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_CR_9009_CRSANA10_3,7.03435990688422,6.13232698670112
3,4,5.1211317,8.3409917,cd8ee85a-bab7-4876-a12b-31387a61182d,CRSDUK06,Odukpani,9015,Odukpani,CR,Cross River,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_CR_9015_CRSDUK06_4,8.33515619999866,4.95488959967531
4,5,6.983633333,7.457013333,89be268c-8ab3-4399-9b43-ffebb5c0046a,ENSENZ12,Umuozzi 5,14008,Igbo-Eze North,EN,Enugu,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EN_14008_ENSENZ12_5,8.34099170020687,5.12113169996803
5,6,6.42342897678944,3.40959650897891,8ba44b3f-59b3-46d4-8ab5-f1e1e2855300,LASEOA19,Tarkwa Bay,25008,Eti Osa,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25008_LASEOA19_6,7.45701333289907,6.98363333301194
6,7,6.6128039859366,3.35901792875789,52fd6665-cb3f-47fc-943f-947043ef06d5,LASIKA04,Alausa,25011,Ikeja,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25011_LASIKA04_7,3.409596508672,6.42342897686586
7,8,6.59174074509466,3.34046863726334,c0a376da-7c22-4010-9fce-3cd1aaa931b4,LASIKA05,Anifowoshe,25011,Ikeja,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25011_LASIKA05_8,3.35901792903422,6.61280398561547
8,9,6.5644967,3.348905,47322f54-0ab8-4ca1-961c-55b91adc8234,LASIKA12,Onigbongbo,25011,Ikeja,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25011_LASIKA12_9,3.34046863661831,6.5917407454391
9,10,6.671398333,3.51309618037865,993d2568-4342-4e92-9c8b-aac8a16f5314,LASIKU23,Odogunyan,25012,Ikorodu,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25012_LASIKU23_10,3.34890499956612,6.56449669956311
10,11,9.14252833333333,4.79198333333333,8d4a58ee-834a-4955-b95a-625130717685,NISMKW04,Jebba,27017,Mokwa,NI,Niger,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_NI_27017_NISMKW04_11,3.51309617974493,6.6713983332665
11,12,7.19086666666667,3.244175,c66a946b-71fc-42ad-8cb8-9ce46538cdbd,OGSABN10,Olorunda,28001,Abeokuta North,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28001_OGSABN10_12,4.79198333306442,9.14252833331597
12,13,8.90061333333333,11.2867816666667,f0ee3409-c992-4078-8f77-ef3fe15f171e,TRSARD05,Jauro Yinu,35001,Ardo-Kola,TA,Taraba,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_TA_35001_TRSARD05_13,3.24417500017614,7.19086666706306
13,14,8.92422556081573,11.3416422535113,960f33bf-aa37-4b33-819c-d17c9314ca38,TRSJAL03,Kona,35007,Jalingo,TA,Taraba,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_TA_35007_TRSJAL03_14,11.28678166744,8.90061333343863
14,15,7.86664775320147,9.76632527954391,23cf1dd1-2d10-4629-ab06-c966e8467469,TRSWKR05,Hospital,35014,Wukari,TA,Taraba,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_TA_35014_TRSWKR05_15,11.341642253887,8.92422556076104
15,16,7.62897,5.21521,cf9931af-63a6-4464-b31b-f40015f76ea2,EKSADO02,Basiri,13001,Ado-Ekiti,EK,Ekiti,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EK_13001_EKSADO02_16,9.76632528018757,7.86664775299147
16,17,7.492945,5.246876667,57034ffd-4417-42b1-a5cd-2588d8dfc6d7,EKSIKR03,Araromi-Ekiti,13010,Ikere,EK,Ekiti,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EK_13010_EKSIKR03_17,5.21521000044123,7.62896999976573
17,18,7.777703333,5.510065,78469e5e-6f86-4839-8c0a-be3e2ba96f7f,EKSIKE03,Ikole 2,13011,Ikole,EK,Ekiti,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EK_13011_EKSIKE03_18,5.24687666662493,7.49294499971199
18,19,6.45815281323137,7.50966170395663,e040876a-aaa0-44c1-b5c8-34e578b4ee9c,ENSENU04,New Haven East,14004,Enugu North,EN,Enugu,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EN_14004_ENSENU04_19,5.51006499999983,7.77770333314237
19,20,6.417948333,7.402398333,fd24ae3d-7673-4ada-9acc-79ff55b36a3d,ENSUDD12,Nsude,14016,Udi,EN,Enugu,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_EN_14016_ENSUDD12_20,7.5096617040245,6.4581528128021
20,21,6.69073166666667,3.23844,ad1293cf-2b6b-4e80-981d-ce5c9a81037e,OGSADO15,Ota 3,28003,Ado Odo/Ota,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28003_OGSADO15_21,7.40239833331646,6.41794833294927
21,22,6.97168,3.995905,6b54a1d2-c9c4-4605-97cf-19ec1cdb4f1a,OGSIUN06,Obada,28009,Ijebu North,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28009_OGSIUN06_22,3.23844000010598,6.69073166723268
22,23,10.30403833,10.90386,1b27c97c-592b-43e4-b417-7616439f2ed5,GMSAKK01,Akko,16001,Akko,GO,Gombe,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_GO_16001_GMSAKK01_23,3.99590500021566,6.97168000033179
23,24,10.29849667,11.16285,94672f7e-0106-4d9e-8e00-e6cdf8f5dbb3,GMSGME11,Shamaki,16006,Gombe,GO,Gombe,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_GO_16006_GMSGME11_24,10.9038599998391,10.3040383303048
24,25,9.8176267,11.3109667,be78013c-ad15-469b-bfb1-bf11bcbe99ca,GMSKLT05,Kaltungo West,16007,Kaltungo,GO,Gombe,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_GO_16007_GMSKLT05_25,11.1628500002274,10.2984966700853
25,26,7.51653,4.522833333,8322c977-bfdd-46c1-a1ae-d46e10f78fb7,OSSICL06,Iremo I,30011,Ife Central,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30011_OSSICL06_26,11.3109666999533,9.81762669981242
26,27,7.506723333,4.568031667,4bb3011c-2bb0-4762-b17a-d52c94479045,OSSICL10,Iremo 5,30011,Ife Central,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30011_OSSICL10_27,4.52283333269219,7.5165300000595
27,28,7.917123333,4.661516667,1ee2c062-2248-4f33-a7f3-2c1a4c8147bf,OSSIDN07,Isale Ikirun,30016,Ifelodun,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30016_OSSIDN07_28,4.56803166692794,7.50672333291556
28,29,7.36084,4.185426667,fb23e36e-249c-49f0-8998-3cfd3d188d14,OSSIRE06,Moringbere,30021,Irewole,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30021_OSSIRE06_29,4.66151666666087,7.91712333327524
29,30,7.628733333,4.172783333,7e044a05-0b0b-4722-8280-131d5f80ef2c,OSSIWO01,Gidigbo 1,30023,Iwo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30023_OSSIWO01_30,4.1854266668073,7.36083999966633
30,31,8.026973333,4.677668333,05fc67d4-b909-4a60-bde6-1fa0cd7046ef,OSSODN09,Oba/Ojomo,30025,Odo Otin,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30025_OSSODN09_31,4.17278333288453,7.62873333327678
31,32,7.785898333,4.544845,f9700f6f-61ed-4845-ab32-708dcfd02650,OSSOSO02,Alekuwodo,30030,Osogbo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30030_OSSOSO02_32,4.67766833322702,8.02697333315285
32,33,7.732816667,4.515828333,364a37e5-8599-4ac6-bb9f-1d204dce8f9f,OSSOSO06,Ataoja Iv,30030,Osogbo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30030_OSSOSO06_33,4.54484499969703,7.78589833334144
33,34,6.55274250392628,3.26925808333677,52a732da-f6dd-4dc9-bbbd-0ee918cd632b,LASAMO20,Egbe-Liasu,25003,Alimosho,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25003_LASAMO20_34,4.51582833341092,7.7328166670556
34,35,6.46583206012622,3.29069760130522,a795a9fd-4fee-4582-8ccb-3f3924dda704,LASAON07,Ifelodun,25004,Amuwo Odofin,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25004_LASAON07_35,3.26925808309409,6.55274250376357
35,36,6.45828801110528,3.36382730293689,0093f365-7895-4199-a235-1f60dac06767,LASAPA09,Marine Beach,25005,Apapa,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25005_LASAPA09_36,3.29069760141323,6.46583205990169
36,37,6.413013333,2.906456667,9fe998cf-f1ee-4985-88b9-fa01dcb4af38,LASBDY09,Awhanjigoh,25006,Badagry,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25006_LASBDY09_37,3.36382730278785,6.45828801058326
37,38,6.44684090130522,3.53049928497906,fe99b93b-4863-404b-9588-73c0b4609cb1,LASEOA04,Ajiran/Osapa,25008,Eti Osa,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25008_LASEOA04_38,2.9064566670416,6.41301333289903
38,39,6.51875526436833,3.39610077254733,6e9d5298-7a65-4948-9af8-6292b86e4383,LASLMD02,Abule Oja,25019,Lagos Mainland,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25019_LASLMD02_39,3.53049928531379,6.44684090088691
39,40,6.48228795457888,3.38104474933677,681f3ce0-2ee2-452a-a0a6-60d02571df54,LASLMD11,Iponri/Olaleye,25019,Lagos Mainland,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25019_LASLMD11_40,3.39610077303229,6.51875526384441
40,41,6.45140417777883,3.39425930653671,9bccfb1f-c4ef-4a12-bd30-9d41966f23b6,LASLID01,Ajele,25020,Lagos Island,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25020_LASLID01_41,3.38104474871625,6.48228795542485
41,42,6.52966666666667,2.84192333333333,816c69c9-7cb6-4c3a-b9a8-29ecad07f808,OGSIKA08,Ipokia 1,28014,Ipokia,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28014_OGSIKA08_42,3.3942593068216,6.45140417786058
42,42,6.52966666666667,2.84192333333333,816c69c9-7cb6-4c3a-b9a8-29ecad07f808,OGSIKA08,Ipokia 1,28014,Ipokia,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28014_OGSIKA08_42,2.84192333329526,6.52966666718299
43,1,5.1137033,7.3761233,c392e76c-f67d-456c-b5cf-d41a0d607fd9,ABSEZA05,Industrial,1001,Aba North,AB,Abia,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_AB_1001_ABSEZA05_1,7.37612330000007,5.11370330000005
44,1,5.1137033,7.3761233,c392e76c-f67d-456c-b5cf-d41a0d607fd9,ABSEZA05,Industrial,1001,Aba North,AB,Abia,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_AB_1001_ABSEZA05_1,7.37612330000007,5.11370330000005
